Stores,Offices,Indoor Entertainment,Health,Transportation,Outdoor Entertainment,Sports related venues,Restaurants,Bars / Brewery,Automotive,Cafe / Bakery / Dessert,Food / Groceries,High School,ATM,Currency Exchange,Flea Market,Hotel,Intersection,Rental Car Location,Salon / Barbershop,Shopping Mall,Storage Facility,Waste Facility,Vegetarian / Vegan Restaurant
Accessories Store,Insurance Office,Arcade,Massage Studio,Airport,Beach,Athletics & Sports,American Restaurant,Bar,Auto Garage,Bagel Shop,Farmers Market,,,,,,,,,,,,
Bookstore,Lawyer,Concert Hall,Pharmacy,Boat or Ferry,Bike Trail,Baseball Field,Asian Restaurant,Brewery,Automotive Shop,Bakery,Food,,,,,,,,,,,,
Boutique,Bank,History Museum,Spa,Bus Station,Dog Run,Basketball Court,BBQ Joint,Cocktail Bar,,Breakfast Spot,Food & Drink Shop,,,,,,,,,,,,
Candy Store,,Indie Movie Theater,,Gas Station,Farm,Dance Studio,Burger Joint,Dive Bar,,Bubble Tea Shop,Grocery Store,,,,,,,,,,,,
Clothing Store,,Indie Theater,,Harbor / Marina,Garden,Gym,Cajun / Creole Restaurant,Gastropub,,Café,Market,,,,,,,,,,,,
Cosmetics Shop,,Movie Theater,,Light Rail Station,Golf Course,Gym / Fitness Center,Caribbean Restaurant,Hookah Bar,,Coffee Shop,Supermarket,,,,,,,,,,,,
Discount Store,,Art Gallery,,Train Station,Historic Site,Martial Arts School,Cuban Restaurant,Hotel Bar,,Dessert Shop,,,,,,,,,,,,,
Electronics Store,,Art Museum,,,Lake,Soccer Field,Deli / Bodega,Pub,,Donut Shop,,,,,,,,,,,,,
Flower Shop,,Museum,,,Other Great Outdoors,Tennis Court,Diner,Speakeasy,,Frozen Yogurt Shop,,,,,,,,,,,,,
Furniture / Home Store,,Music Venue,,,Park,Yoga Studio,Fast Food Restaurant,Sports Bar,,Ice Cream Shop,,,,,,,,,,,,,
Garden Center,,Nightclub,,,Playground,,Filipino Restaurant,Wine Bar,,Juice Bar,,,,,,,,,,,,,
Gift Shop,,Performing Arts Venue,,,Plaza,,Food Court,,,Snack Place,,,,,,,,,,,,,
Gourmet Shop,,Rock Club,,,Pool,,Food Truck,,,Tea Room,,,,,,,,,,,,,
Health & Beauty Service,,Smoke Shop,,,Scenic Lookout,,French Restaurant,,,,,,,,,,,,,,,,
Hardware Store,,Theater,,,Track,,Fried Chicken Joint,,,,,,,,,,,,,,,,
Convenience Store,,,,,Trail,,Greek Restaurant,,,,,,,,,,,,,,,,
Construction & Landscaping,,,,,,,Hot Dog Joint,,,,,,,,,,,,,,,,
Hobby Shop,,,,,,,Indian Restaurant,,,,,,,,,,,,,,,,
Home Service,,,,,,,Italian Restaurant,,,,,,,,,,,,,,,,
Kids Store,,,,,,,Japanese Restaurant,,,,,,,,,,,,,,,,
Big Box Store,,,,,,,Korean Restaurant,,,,,,,,,,,,,,,,
Department Store,,,,,,,Latin American Restaurant,,,,,,,,,,,,,,,,
Dry Cleaner,,,,,,,Mediterranean Restaurant,,,,,,,,,,,,,,,,
Liquor Store,,,,,,,Mexican Restaurant,,,,,,,,,,,,,,,,
Marijuana Dispensary,,,,,,,Middle Eastern Restaurant,,,,,,,,,,,,,,,,
Men's Store,,,,,,,New American Restaurant,,,,,,,,,,,,,,,,
Mobile Phone Shop,,,,,,,Noodle House,,,,,,,,,,,,,,,,
Arts & Crafts Store,,,,,,,Pizza Place,,,,,,,,,,,,,,,,
Music Store,,,,,,,Poke Place,,,,,,,,,,,,,,,,
Optical Shop,,,,,,,Ramen Restaurant,,,,,,,,,,,,,,,,
Other Repair Shop,,,,,,,Restaurant,,,,,,,,,,,,,,,,
Paper / Office Supplies Store,,,,,,,Salad Place,,,,,,,,,,,,,,,,
Pet Store,,,,,,,Sandwich Place,,,,,,,,,,,,,,,,
Shipping Store,,,,,,,Seafood Restaurant,,,,,,,,,,,,,,,,
Sporting Goods Shop,,,,,,,South American Restaurant,,,,,,,,,,,,,,,,
Supplement Shop,,,,,,,Southern / Soul Food Restaurant,,,,,,,,,,,,,,,,
Thrift / Vintage Store,,,,,,,Steakhouse,,,,,,,,,,,,,,,,
Toy / Game Store,,,,,,,Sushi Restaurant,,,,,,,,,,,,,,,,
Video Game Store,,,,,,,Taco Place,,,,,,,,,,,,,,,,
Video Store,,,,,,,Thai Restaurant,,,,,,,,,,,,,,,,
Wine Shop,,,,,,,Vietnamese Restaurant,,,,,,,,,,,,,,,,
Women's Store,,,,,,,Wings Joint,,,,,,,,,,,,,,,,
